Country,Continent,Year,GDP per capita,Mortality,GDP
Afghanistan,AS,1969,1278,30.58,15493193728
Afghanistan,AS,1970,1272,30.03,15812232192
Afghanistan,AS,1971,1237,29.48,15770513408
Afghanistan,AS,1972,1007,28.93,13170552832
Afghanistan,AS,1973,1011,28.36,13568630784
Afghanistan,AS,1974,1039,27.78,14309107712
Afghanistan,AS,1975,1074,27.2,15177767936
Afghanistan,AS,1976,1105,26.62,16023605248
Afghanistan,AS,1977,1022,26.01,15207360512
Afghanistan,AS,1978,1070,25.4,16337829888
Afghanistan,AS,1979,1023,24.78,15913788416
Afghanistan,AS,1980,1019,24.15,15329836032
Afghanistan,AS,1981,1144,23.51,15645343744
Afghanistan,AS,1982,1270,22.86,15980409856
Afghanistan,AS,1983,1347,22.22,16755333120
Afghanistan,AS,1984,1337,21.58,17072152576
Afghanistan,AS,1985,1304,20.93,17108480000
Afghanistan,AS,1986,1344,20.29,17641345024
Afghanistan,AS,1987,1211,19.64,15810816000
Afghanistan,AS,1988,1101,19.01,14499068928
Afghanistan,AS,1989,999,18.38,13489497088
Afghanistan,AS,1990,963,17.77,13065984000
Afghanistan,AS,1991,881.1704102,17.17,12047362048
Afghanistan,AS,1992,843.8753052,16.59,12677538816
Afghanistan,AS,1993,578.40271,16.04,9834580992
Afghanistan,AS,1994,428.4245911,15.52,7919857152
Afghanistan,AS,1995,632.9404297,15.03,12307525632
Afghanistan,AS,1996,600.175293,14.56,12070125568
Afghanistan,AS,1997,570.5980835,14.12,11850752000
Afghanistan,AS,1998,545.0388184,13.69,11692172288
Afghanistan,AS,1999,518.6578979,13.28,11517317120
Afghanistan,AS,2000,502.3727112,12.87,11283792896
Afghanistan,AS,2001,489.6820068,12.46,11021273088
Afghanistan,AS,2002,796.8165894,12.04,18804871168
Afghanistan,AS,2003,842.8051758,11.63,21074343936
Afghanistan,AS,2004,869.0393066,11.21,22332571648
Afghanistan,AS,2005,964.4080811,10.79,25397688320
Afghanistan,AS,2006,1057.096558,10.37,28704401408
Afghanistan,AS,2007,1259.996704,9.95,34507530240
Afghanistan,AS,2008,1319.607422,9.54,36561043456
Afghanistan,AS,2009,1557.320557,9.14,44358721536
Afghanistan,AS,2010,1627.671631,8.76,47399424000
Afghanistan,AS,2011,1792,8.39,53326336000
Afghanistan,AS,2012,1945,8.03,59166900224
Afghanistan,AS,2013,2025,7.68,62993698816
Afghanistan,AS,2014,2022,7.36,64346107904
Afghanistan,AS,2015,1928,7.04,62783393792
Afghanistan,AS,2016,1929,6.76,64297426944
Afghanistan,AS,2017,2014.745239,6.49,68752801792
Afghanistan,AS,2018,1934.555054,6.25,67594969088
Albania,EU,1978,3696,9.62,9474237440
Albania,EU,1979,3716,8.86,9727295488
Albania,EU,1980,3741,8.16,9993752576
Albania,EU,1981,3762,7.52,10248711168
Albania,EU,1982,3783,6.92,10517106688
Albania,EU,1983,3805,6.39,10795983872
Albania,EU,1984,3826,5.92,11080088576
Albania,EU,1985,3846,5.5,11371456512
Albania,EU,1986,3870,5.13,11669744640
Albania,EU,1987,3894,4.81,11975300096
Albania,EU,1988,3920,4.54,12296424448
Albania,EU,1989,3948,4.3,12617018368
Albania,EU,1990,3983,4.1,12947849216
Albania,EU,1991,2942.100586,3.93,9375844352
Albania,EU,1992,2841.765137,3.78,8745680896
Albania,EU,1993,3137.023926,3.65,9636359168
Albania,EU,1994,3399.710205,3.52,10596127744
Albania,EU,1995,3666.650635,3.39,11600734208
Albania,EU,1996,3965.685303,3.26,12727380992
Albania,EU,1997,3526.985596,3.13,11396507648
Albania,EU,1998,3873.373291,2.99,12466707456
Albania,EU,1999,4432.04248,2.86,14151858176
Albania,EU,2000,4808.479492,2.72,15214264320
Albania,EU,2001,5285.809082,2.58,16563844096
Albania,EU,2002,5608.962402,2.44,17408065536
Albania,EU,2003,6004.64502,2.29,18465497088
Albania,EU,2004,6419.870605,2.14,19587880960
Albania,EU,2005,6858.466797,2,20781076480
Albania,EU,2006,7347.330078,1.85,22124285952
Albania,EU,2007,7866.157715,1.71,23574646784
Albania,EU,2008,8522.129883,1.58,25476937728
Albania,EU,2009,8859.47168,1.45,26471389184
Albania,EU,2010,9222.972656,1.32,27598268416
Albania,EU,2011,9484,1.21,28452651008
Albania,EU,2012,9592,1.12,28855377920
Albania,EU,2013,9660,1.04,29142642688
Albania,EU,2014,9808,0.99,29675640832
Albania,EU,2015,10032,0.96,30444531712
Albania,EU,2016,10342,0.94,31481821184
Albania,EU,2017,10702.12012,0.94,32678760448
Albania,EU,2018,11104.16602,0.95,34009112576
Angola,AF,1980,1532,23.73,10330398720
Angola,AF,1981,1471,23.46,10119853056
Angola,AF,1982,1374,23.19,9643454464
Angola,AF,1983,1288,22.92,9325808640
Angola,AF,1984,1259,22.71,9370042368
Angola,AF,1985,1242,22.55,9420208128
Angola,AF,1986,1106,22.43,8569987072
Angola,AF,1987,1211,22.34,9540738048
Angola,AF,1988,1360,22.28,10911810560
Angola,AF,1989,1360,22.23,11089227776
Angola,AF,1990,1384,22.22,11482503168
Angola,AF,1991,1437.147217,22.21,12341160960
Angola,AF,1992,1389.329468,22.21,12363426816
Angola,AF,1993,1080.480591,22.23,9985481728
Angola,AF,1994,1120.848145,22.19,10760810496
Angola,AF,1995,1319.158936,22.12,13143744512
Angola,AF,1996,1533.983887,21.97,15819794432
Angola,AF,1997,1687.317749,21.7,17972224000
Angola,AF,1998,1811.168091,21.35,19904956416
Angola,AF,1999,1899.415161,20.92,21527384064
Angola,AF,2000,2013.63623,20.39,23512020992
Angola,AF,2001,2162.485107,19.78,26014777344
Angola,AF,2002,2522.671875,19.09,31389599744
Angola,AF,2003,2711.928223,18.32,35081187328
Angola,AF,2004,3064.298584,17.46,41307009024
Angola,AF,2005,3708.770508,16.56,51967275008
Angola,AF,2006,4592.337402,15.62,66748907520
Angola,AF,2007,5773.54834,14.68,87085293568
Angola,AF,2008,6743.748047,13.74,1.06E+11
Angola,AF,2009,7087.604004,12.86,1.15E+11
Angola,AF,2010,7520.666016,12.03,1.27E+11
Angola,AF,2011,8016,11.23,1.4E+11
Angola,AF,2012,8190,10.5,1.49E+11
Angola,AF,2013,8508,9.86,1.61E+11
Angola,AF,2014,8673,9.3,1.7E+11
Angola,AF,2015,8689,8.82,1.77E+11
Angola,AF,2016,8453,8.42,1.78E+11
Angola,AF,2017,8146.435547,8.06,1.78E+11
Angola,AF,2018,7771.441895,7.77,1.76E+11
Argentina,SA,1969,11217,7.25,2.65E+11
Argentina,SA,1970,11639,7.18,2.79E+11
Argentina,SA,1971,12003,7.08,2.92E+11
Argentina,SA,1972,12170,6.96,3.02E+11
Argentina,SA,1973,12691,6.81,3.2E+11
Argentina,SA,1974,13284,6.6,3.41E+11
Argentina,SA,1975,12946,6.33,3.38E+11
Argentina,SA,1976,12696,5.98,3.37E+11
Argentina,SA,1977,13236,5.57,3.57E+11
Argentina,SA,1978,12444,5.12,3.41E+11
Argentina,SA,1979,13114,4.68,3.66E+11
Argentina,SA,1980,13080,4.28,3.71E+11
Argentina,SA,1981,12125,3.94,3.5E+11
Argentina,SA,1982,11550,3.65,3.39E+11
Argentina,SA,1983,11775,3.41,3.51E+11
Argentina,SA,1984,11837,3.21,3.58E+11
Argentina,SA,1985,10895,3.06,3.34E+11
Argentina,SA,1986,11515,2.96,3.59E+11
Argentina,SA,1987,11633,2.91,3.68E+11
Argentina,SA,1988,11244,2.89,3.61E+11
Argentina,SA,1989,10393,2.89,3.39E+11
Argentina,SA,1990,10254,2.86,3.39E+11
Argentina,SA,1991,11223.98438,2.81,3.76E+11
Argentina,SA,1992,12267.08398,2.73,4.17E+11
Argentina,SA,1993,12926.79492,2.63,4.45E+11
Argentina,SA,1994,13571.37988,2.52,4.73E+11
Argentina,SA,1995,13086.03613,2.41,4.62E+11
Argentina,SA,1996,13715.22656,2.31,4.89E+11
Argentina,SA,1997,14722.64551,2.21,5.32E+11
Argentina,SA,1998,15185.95898,2.12,5.55E+11
Argentina,SA,1999,14577.83203,2.04,5.38E+11
Argentina,SA,2000,14368.94238,1.96,5.36E+11
Argentina,SA,2001,13651.98145,1.9,5.15E+11
Argentina,SA,2002,12094.77246,1.83,4.61E+11
Argentina,SA,2003,13088.56543,1.77,5.04E+11
Argentina,SA,2004,14183.22559,1.71,5.52E+11
Argentina,SA,2005,15344.15723,1.65,6.04E+11
Argentina,SA,2006,16490.47266,1.61,6.56E+11
Argentina,SA,2007,17891.94336,1.57,7.18E+11
Argentina,SA,2008,18520.30469,1.53,7.51E+11
Argentina,SA,2009,17328.97656,1.49,7.1E+11
Argentina,SA,2010,18979.99219,1.44,7.85E+11
Argentina,SA,2011,20003,1.39,8.36E+11
Argentina,SA,2012,19599,1.33,8.27E+11
Argentina,SA,2013,19873,1.27,8.47E+11
Argentina,SA,2014,19183,1.21,8.26E+11
Argentina,SA,2015,19502,1.15,8.48E+11
Argentina,SA,2016,18875,1.09,8.28E+11
Argentina,SA,2017,19200.90625,1.03,8.5E+11
Argentina,SA,2018,18556.38281,0.98,8.29E+11
Armenia,AS,1980,9291,7.31,28944150528
Armenia,AS,1981,9548,7.02,30229903360
Armenia,AS,1982,9809,6.74,31572140032
Armenia,AS,1983,9865,6.48,32260059136
Armenia,AS,1984,10181,6.22,33825294336
Armenia,AS,1985,10485,5.98,35371483136
Armenia,AS,1986,10394,5.75,35568037888
Armenia,AS,1987,9789,5.52,33956640768
Armenia,AS,1988,9301,8.07,32698726400
Armenia,AS,1989,10525,5.1,35006066688
Armenia,AS,1990,9669,4.89,32650115072
Armenia,AS,1991,8141.670898,4.68,27959781376
Armenia,AS,1992,4699.61084,4.47,15777784832
Armenia,AS,1993,4130.146973,4.27,13153102848
Armenia,AS,1994,4392.97998,4.08,13441652736
Armenia,AS,1995,4703.130859,3.89,14085538816
Armenia,AS,1996,4811.489258,3.71,14363169792
Armenia,AS,1997,4836.044434,3.54,14402198528
Armenia,AS,1998,4994.053223,3.38,14841954304
Armenia,AS,1999,5000.452637,3.22,14850691072
Armenia,AS,2000,5139.825684,3.07,15244832768
Armenia,AS,2001,5457.510254,2.92,16184125440
Armenia,AS,2002,6082.145996,2.78,18018121728
Armenia,AS,2003,6743.241211,2.64,19928737792
Armenia,AS,2004,7229.648438,2.51,21350940672
Armenia,AS,2005,8006.960449,2.39,23626534912
Armenia,AS,2006,8798.75,2.27,25937829888
Armenia,AS,2007,9713.212891,2.16,28610387968
Armenia,AS,2008,10080.8125,2.05,29672505344
Armenia,AS,2009,8399.086914,1.95,24704751616
Armenia,AS,2010,8330.811523,1.85,24485627904
Armenia,AS,2011,8465,1.76,24860479488
Armenia,AS,2012,9077,1.67,26635751424
Armenia,AS,2013,9385,1.59,27513477120
Armenia,AS,2014,9735,1.51,28507138048
Armenia,AS,2015,10042,1.44,29365307392
Armenia,AS,2016,10080,1.37,29426933760
Armenia,AS,2017,10859.37793,1.3,31639250944
Armenia,AS,2018,11454.4248,1.24,33296515072
Australia,OC,1960,14013,2.48,1.45E+11
Australia,OC,1961,13793,2.43,1.46E+11
Australia,OC,1962,14389,2.37,1.55E+11
Australia,OC,1963,14983,2.32,1.65E+11
Australia,OC,1964,15699,2.27,1.76E+11
Australia,OC,1965,16182,2.24,1.85E+11
Australia,OC,1966,16324,2.21,1.9E+11
Australia,OC,1967,17108,2.2,2.03E+11
Australia,OC,1968,17770,2.19,2.15E+11
Australia,OC,1969,18428,2.17,2.28E+11
Australia,OC,1970,19166,2.15,2.43E+11
Australia,OC,1971,19590,2.1,2.53E+11
Australia,OC,1972,19772,2.03,2.61E+11
Australia,OC,1973,20527,1.94,2.75E+11
Australia,OC,1974,20698,1.84,2.81E+11
Australia,OC,1975,20993,1.73,2.89E+11
Australia,OC,1976,21613,1.62,3.01E+11
Australia,OC,1977,21592,1.52,3.04E+11
Australia,OC,1978,21948,1.44,3.13E+11
Australia,OC,1979,22826,1.36,3.29E+11
Australia,OC,1980,22972,1.3,3.36E+11
Australia,OC,1981,23368,1.26,3.49E+11
Australia,OC,1982,22972,1.22,3.48E+11
Australia,OC,1983,22697,1.19,3.48E+11
Australia,OC,1984,24009,1.16,3.72E+11
Australia,OC,1985,24927,1.13,3.91E+11
Australia,OC,1986,25116,1.1,3.99E+11
Australia,OC,1987,25971,1.06,4.19E+11
Australia,OC,1988,26702,1.02,4.38E+11
Australia,OC,1989,27407,0.97,4.57E+11
Australia,OC,1990,27373,0.92,4.64E+11
Australia,OC,1991,26861.27539,0.87,4.61E+11
Australia,OC,1992,27560.17773,0.82,4.78E+11
Australia,OC,1993,28622.47656,0.77,5.01E+11
Australia,OC,1994,29844.17188,0.73,5.27E+11
Australia,OC,1995,30690.0625,0.7,5.49E+11
Australia,OC,1996,31740.46875,0.68,5.75E+11
Australia,OC,1997,32857.99219,0.66,6.01E+11
Australia,OC,1998,34337.14063,0.64,6.34E+11
Australia,OC,1999,35551.01953,0.63,6.64E+11
Australia,OC,2000,36603.04688,0.62,6.92E+11
Australia,OC,2001,37275.99219,0.61,7.14E+11
Australia,OC,2002,38567.06641,0.6,7.47E+11
Australia,OC,2003,39523.65625,0.59,7.74E+11
Australia,OC,2004,40887.72656,0.58,8.09E+11
Australia,OC,2005,41904.44531,0.57,8.41E+11
Australia,OC,2006,42650.98438,0.56,8.69E+11
Australia,OC,2007,44033.58203,0.54,9.14E+11
Australia,OC,2008,44421.64063,0.52,9.42E+11
Australia,OC,2009,44686.54297,0.5,9.65E+11
Australia,OC,2010,45400.22266,0.48,9.94E+11
Australia,OC,2011,46132,0.45,1.03E+12
Australia,OC,2012,46999,0.43,1.06E+12
Australia,OC,2013,47250,0.41,1.09E+12
Australia,OC,2014,47867,0.4,1.12E+12
Australia,OC,2015,48357,0.39,1.15E+12
Australia,OC,2016,48845,0.38,1.18E+12
Australia,OC,2017,49265.61328,0.37,1.21E+12
Australia,OC,2018,49830.80078,0.37,1.24E+12
Austria,EU,1960,10391,4.28,73229918208
Austria,EU,1961,10882,4.02,77113106432
Austria,EU,1962,11078,3.79,78984634368
Austria,EU,1963,11454,3.59,82191736832
Austria,EU,1964,12062,3.42,87133487104
Austria,EU,1965,12328,3.27,89635520512
Austria,EU,1966,12930,3.15,94674313216
Austria,EU,1967,13225,3.05,97560797184
Austria,EU,1968,13742,2.97,1.02E+11
Austria,EU,1969,14555,2.93,1.08E+11
Austria,EU,1970,15537,2.91,1.16E+11
Austria,EU,1971,16259,2.87,1.22E+11
Austria,EU,1972,17169,2.81,1.3E+11
Austria,EU,1973,17908,2.69,1.36E+11
Austria,EU,1974,18583,2.51,1.41E+11
Austria,EU,1975,18564,2.3,1.41E+11
Austria,EU,1976,19448,2.11,1.47E+11
Austria,EU,1977,20350,1.94,1.54E+11
Austria,EU,1978,20293,1.81,1.53E+11
Austria,EU,1979,21436,1.71,1.62E+11
Austria,EU,1980,21932,1.63,1.66E+11
Austria,EU,1981,21866,1.55,1.65E+11
Austria,EU,1982,22254,1.48,1.69E+11
Austria,EU,1983,22944,1.4,1.73E+11
Austria,EU,1984,23016,1.33,1.74E+11
Austria,EU,1985,23514,1.26,1.78E+11
Austria,EU,1986,24039,1.19,1.82E+11
Austria,EU,1987,24409,1.11,1.85E+11
Austria,EU,1988,25112,1.05,1.91E+11
Austria,EU,1989,26078,1,1.99E+11
Austria,EU,1990,26930,0.95,2.08E+11
Austria,EU,1991,27689.77148,0.91,2.16E+11
Austria,EU,1992,28072.43945,0.86,2.21E+11
Austria,EU,1993,28101.22852,0.8,2.23E+11
Austria,EU,1994,28780.75977,0.74,2.3E+11
Austria,EU,1995,29621.68164,0.68,2.37E+11
Austria,EU,1996,30413.15625,0.63,2.43E+11
Austria,EU,1997,31173.04883,0.6,2.5E+11
Austria,EU,1998,32376.33008,0.57,2.6E+11
Austria,EU,1999,33608.29688,0.56,2.7E+11
Austria,EU,2000,34796.25781,0.55,2.8E+11
Austria,EU,2001,35272.22266,0.54,2.85E+11
Austria,EU,2002,35823.58594,0.53,2.91E+11
Austria,EU,2003,36063.12109,0.52,2.95E+11
Austria,EU,2004,36957.11328,0.51,3.04E+11
Austria,EU,2005,37642.76172,0.49,3.12E+11
Austria,EU,2006,38866.84766,0.48,3.23E+11
Austria,EU,2007,40305.27344,0.46,3.36E+11
Austria,EU,2008,40964.79297,0.45,3.43E+11
Austria,EU,2009,39463.65625,0.44,3.31E+11
Austria,EU,2010,40288.34766,0.43,3.39E+11
Austria,EU,2011,41446,0.42,3.5E+11
Austria,EU,2012,41565,0.41,3.52E+11
Austria,EU,2013,41375,0.39,3.53E+11
Austria,EU,2014,41338,0.38,3.55E+11
Austria,EU,2015,41294,0.37,3.59E+11
Austria,EU,2016,41445,0.36,3.64E+11
Austria,EU,2017,42177.37109,0.36,3.73E+11
Austria,EU,2018,42988.07031,0.35,3.82E+11
Azerbaijan,AS,1982,7831,10.94,49876680704
Azerbaijan,AS,1983,8010,10.67,51826909184
Azerbaijan,AS,1984,8360,10.42,54999613440
Azerbaijan,AS,1985,8558,10.18,57181876224
Azerbaijan,AS,1986,8663,9.98,58704584704
Azerbaijan,AS,1987,8995,9.8,61831430144
Azerbaijan,AS,1988,9328,9.65,65070243840
Azerbaijan,AS,1989,8421,9.55,59803709440
Azerbaijan,AS,1990,7394,9.52,53235601408
Azerbaijan,AS,1991,7319.136719,9.53,53426622464
Azerbaijan,AS,1992,5638.998047,9.57,41795272704
Azerbaijan,AS,1993,4315.356934,9.58,32486443008
Azerbaijan,AS,1994,3453.36377,9.53,26372110336
Azerbaijan,AS,1995,2999.319092,9.4,23188279296
Azerbaijan,AS,1996,3074.219727,9.18,24026394624
Azerbaijan,AS,1997,3347.612549,8.86,26436927488
Azerbaijan,AS,1998,3550.364014,8.45,28328464384
Azerbaijan,AS,1999,3959.781494,7.97,31898568704
Azerbaijan,AS,2000,4214.888672,7.46,34255695872
Azerbaijan,AS,2001,4498.794434,6.95,36862193664
Azerbaijan,AS,2002,4880.399902,6.46,40295239680
Azerbaijan,AS,2003,5408.522949,6,44994662400
Azerbaijan,AS,2004,5971.474609,5.59,50107478016
Azerbaijan,AS,2005,7553.626465,5.22,64019197952
Azerbaijan,AS,2006,10160.3457,4.89,87026458624
Azerbaijan,AS,2007,12699.49805,4.58,1.1E+11
Azerbaijan,AS,2008,14072.62695,4.29,1.23E+11
Azerbaijan,AS,2009,15384.29297,4.01,1.36E+11
Azerbaijan,AS,2010,16153.83691,3.74,1.44E+11
Azerbaijan,AS,2011,16176,3.5,1.46E+11
Azerbaijan,AS,2012,16359,3.26,1.49E+11
Azerbaijan,AS,2013,17133,3.04,1.58E+11
Azerbaijan,AS,2014,17439,2.83,1.62E+11
Azerbaijan,AS,2015,17460,2.63,1.64E+11
Azerbaijan,AS,2016,16645,2.46,1.58E+11
Azerbaijan,AS,2017,16522.30664,2.3,1.58E+11
Azerbaijan,AS,2018,16628.05469,2.16,1.6E+11
Bahrain,AS,1960,4532,19.84,709928704
Bahrain,AS,1961,4594,18.15,754950400
Bahrain,AS,1962,4672,16.6,802943936
Bahrain,AS,1963,4772,15.16,854703360
Bahrain,AS,1964,4898,13.81,909514496
Bahrain,AS,1965,5058,12.55,967989952
Bahrain,AS,1966,5233,11.39,1029362496
Bahrain,AS,1967,5423,10.32,1096433024
Bahrain,AS,1968,5611,9.32,1166027520
Bahrain,AS,1969,5812,8.41,1241419904
Bahrain,AS,1970,6038,7.59,1325600640
Bahrain,AS,1971,6349,6.85,1430905856
Bahrain,AS,1972,6692,6.19,1544513536
Bahrain,AS,1973,6975,5.61,1666864512
Bahrain,AS,1974,7291,5.11,1810668800
Bahrain,AS,1975,6252,4.67,1617948800
Bahrain,AS,1976,6875,4.3,1881419392
Bahrain,AS,1977,7084,3.98,2106852480
Bahrain,AS,1978,7037,3.69,2269678848
Bahrain,AS,1979,6730,3.45,2261751040
Bahrain,AS,1980,6994,3.23,2430890496
Bahrain,AS,1981,6875,3.04,2498560512
Bahrain,AS,1982,7036,2.88,2659375872
Bahrain,AS,1983,7240,2.74,2845479168
Bahrain,AS,1984,7264,2.61,2965760512
Bahrain,AS,1985,6972,2.51,2955779328
Bahrain,AS,1986,6880,2.43,3024145408
Bahrain,AS,1987,6786,2.37,3084997120
Bahrain,AS,1988,6802,2.34,3193430272
Bahrain,AS,1989,6751,2.32,3272824064
Bahrain,AS,1990,6542,2.3,3274114048
Bahrain,AS,1991,7059.957031,2.26,3631865856
Bahrain,AS,1992,7993.892578,2.2,4219815168
Bahrain,AS,1993,9102.066406,2.1,4925347840
Bahrain,AS,1994,9935.003906,1.96,5510148608
Bahrain,AS,1995,10695.39258,1.81,6084213760
Bahrain,AS,1996,11640.82129,1.66,6797881344
Bahrain,AS,1997,12528.38965,1.52,7521835520
Bahrain,AS,1998,13776.00781,1.4,8531816960
Bahrain,AS,1999,15263.75781,1.32,9805050880
Bahrain,AS,2000,17021.72266,1.25,11416501248
Bahrain,AS,2001,18152.96289,1.2,12778555392
Bahrain,AS,2002,19487.8418,1.16,14457704448
Bahrain,AS,2003,21391.61133,1.13,16810481664
Bahrain,AS,2004,23389.60156,1.1,19587602432
Bahrain,AS,2005,25230.90039,1.06,22640009216
Bahrain,AS,2006,26840.125,1.02,25959809024
Bahrain,AS,2007,28884.69727,0.98,30196430848
Bahrain,AS,2008,30612.49805,0.93,34434658304
Bahrain,AS,2009,31729.56641,0.89,37946552320
Bahrain,AS,2010,34057.71484,0.85,42648158208
Bahrain,AS,2011,36372,0.82,46914961408
Bahrain,AS,2012,36949,0.8,48471822336
Bahrain,AS,2013,38493,0.78,51083276288
Bahrain,AS,2014,39799,0.77,53661769728
Bahrain,AS,2015,40483,0.76,56045613056
Bahrain,AS,2016,41078,0.74,59105439744
Bahrain,AS,2017,40695.71484,0.73,61359722496
Bahrain,AS,2018,39498.76563,0.71,62559305728
Bangladesh,AS,1960,869,26.02,47441014784
Bangladesh,AS,1961,899,25.38,50082291712
Bangladesh,AS,1962,877,24.78,49816424448
Bangladesh,AS,1963,947,24.23,55102218240
Bangladesh,AS,1964,939,23.75,55737696256
Bangladesh,AS,1965,969,23.33,58415452160
Bangladesh,AS,1966,963,22.99,59220692992
Bangladesh,AS,1967,921,22.73,57806946304
Bangladesh,AS,1968,987,22.52,63239028736
Bangladesh,AS,1969,980,22.38,64108445696
Bangladesh,AS,1970,1004,22.28,67600674816
Bangladesh,AS,1971,934,22.19,64585773056
Bangladesh,AS,1972,807,22.11,57036337152
Bangladesh,AS,1973,792,22,57327091712
Bangladesh,AS,1974,872,21.86,65037824000
Bangladesh,AS,1975,843,21.66,64196587520
Bangladesh,AS,1976,862,21.39,67082022912
Bangladesh,AS,1977,843,21.07,67704295424
Bangladesh,AS,1978,878,20.7,72709603328
Bangladesh,AS,1979,894,20.29,76312879104
Bangladesh,AS,1980,875,19.86,76945170432
Bangladesh,AS,1981,878,19.4,79474311168
Bangladesh,AS,1982,869,18.93,80492429312
Bangladesh,AS,1983,891,18.43,84456194048
Bangladesh,AS,1984,918,17.9,89004498944
Bangladesh,AS,1985,925,17.35,91717607424
Bangladesh,AS,1986,944,16.77,95757516800
Bangladesh,AS,1987,960,16.17,99663036416
Bangladesh,AS,1988,964,15.57,1.02E+11
Bangladesh,AS,1989,966,14.98,1.05E+11
Bangladesh,AS,1990,1006,14.38,1.12E+11
Bangladesh,AS,1991,1031.429932,13.79,1.17E+11
Bangladesh,AS,1992,1062.460449,13.19,1.23E+11
Bangladesh,AS,1993,1095.656372,12.6,1.3E+11
Bangladesh,AS,1994,1136.418457,12,1.37E+11
Bangladesh,AS,1995,1182.951416,11.42,1.46E+11
Bangladesh,AS,1996,1234.084106,10.84,1.55E+11
Bangladesh,AS,1997,1291.512573,10.27,1.65E+11
Bangladesh,AS,1998,1348.149902,9.71,1.76E+11
Bangladesh,AS,1999,1412.981323,9.17,1.88E+11
Bangladesh,AS,2000,1485.309204,8.65,2.01E+11
Bangladesh,AS,2001,1551.196533,8.16,2.13E+11
Bangladesh,AS,2002,1621.266968,7.7,2.26E+11
Bangladesh,AS,2003,1710.731445,7.27,2.42E+11
Bangladesh,AS,2004,1812.624756,6.86,2.6E+11
Bangladesh,AS,2005,1925.606201,6.47,2.8E+11
Bangladesh,AS,2006,2057.698486,6.11,3.03E+11
Bangladesh,AS,2007,2194.422363,5.77,3.27E+11
Bangladesh,AS,2008,2321.050537,5.45,3.5E+11
